Phosphate       |                Time
Measurements    |               Taken
----------------|--------------------
      3.991     | 2025/04/01 15:01:56
      9.361     | 2025/04/01 15:02:39
      9.567     | 2025/04/01 15:02:40
      0.986     | 2025/04/01 15:02:40
      1.799     | 2025/04/01 15:02:40
      4.273     | 2025/04/01 15:02:41
      4.737     | 2025/04/01 15:32:58
      3.400     | 2025/04/01 15:32:59
      8.127     | 2025/04/01 15:32:59
      1.616     | 2025/04/01 15:32:59
      2.685     | 2025/04/01 15:32:59
      7.000     | 2025/04/01 17:19:49
     69.420     | 2025/04/01 17:21:11
      NaN       | 2025/04/01 20:15:52
    1212.000    | 2025/04/01 20:15:57
      0.122     | 2025/04/01 20:16:01
     98.000     | 2025/04/01 20:16:10
      2.782     | 2025/04/01 20:16:14
      NaN       | 2025/04/01 20:17:44
      NaN       | 2025/04/01 20:17:52
      0.122     | 2025/04/01 20:18:01
      1.293     | 2025/04/01 20:18:05
      NaN       | 2025/04/01 20:18:08
  999999999.000 | 2025/04/01 20:23:30
